id,Geographic Area Name,Labor Force Participation Rate
0500000US13255,"Spalding County, Georgia",52.0
0500000US18003,"Allen County, Indiana",67.0
0500000US22005,"Ascension Parish, Louisiana",69.3
0500000US26161,"Washtenaw County, Michigan",64.3
0500000US28089,"Madison County, Mississippi",69.1
0500000US29021,"Buchanan County, Missouri",61.3
0500000US29077,"Greene County, Missouri",59.6
0500000US34015,"Gloucester County, New Jersey",66.3
0500000US34029,"Ocean County, New Jersey",58.5
0500000US34039,"Union County, New Jersey",70.2
0500000US36009,"Cattaraugus County, New York",58.4
0500000US36055,"Monroe County, New York",63.0
0500000US36109,"Tompkins County, New York",61.5
0500000US37027,"Caldwell County, North Carolina",59.5
0500000US37063,"Durham County, North Carolina",68.3
0500000US37191,"Wayne County, North Carolina",62.0
0500000US41003,"Benton County, Oregon",60.5
0500000US41067,"Washington County, Oregon",69.3
0500000US42025,"Carbon County, Pennsylvania",60.9
0500000US42069,"Lackawanna County, Pennsylvania",60.9
0500000US45003,"Aiken County, South Carolina",58.0
0500000US48213,"Henderson County, Texas",47.8
0500000US49035,"Salt Lake County, Utah",71.1
0500000US51177,"Spotsylvania County, Virginia",68.2
0500000US01051,"Elmore County, Alabama",55.8
0500000US01115,"St. Clair County, Alabama",56.9
0500000US05131,"Sebastian County, Arkansas",61.3
0500000US06055,"Napa County, California",64.0
0500000US08059,"Jefferson County, Colorado",69.7
0500000US12001,"Alachua County, Florida",61.4
0500000US12069,"Lake County, Florida",52.0
0500000US12127,"Volusia County, Florida",53.0
0500000US17119,"Madison County, Illinois",64.7
0500000US18105,"Monroe County, Indiana",61.8
0500000US19169,"Story County, Iowa",65.8
0500000US34027,"Morris County, New Jersey",67.5
0500000US36065,"Oneida County, New York",57.3
0500000US36075,"Oswego County, New York",61.0
0500000US37147,"Pitt County, North Carolina",64.0
0500000US39101,"Marion County, Ohio",53.6
0500000US39173,"Wood County, Ohio",68.3
0500000US41071,"Yamhill County, Oregon",60.1
0500000US42011,"Berks County, Pennsylvania",65.5
0500000US47155,"Sevier County, Tennessee",57.9
0500000US48099,"Coryell County, Texas",53.5
0500000US48367,"Parker County, Texas",60.9
0500000US51121,"Montgomery County, Virginia",49.6
0500000US53029,"Island County, Washington",54.8
0500000US55027,"Dodge County, Wisconsin",66.9
0500000US55039,"Fond du Lac County, Wisconsin",65.7
0500000US12071,"Lee County, Florida",52.9
0500000US12105,"Polk County, Florida",56.2
0500000US17019,"Champaign County, Illinois",61.7
0500000US21029,"Bullitt County, Kentucky",63.8
0500000US26073,"Isabella County, Michigan",61.1
0500000US28035,"Forrest County, Mississippi",57.2
0500000US34003,"Bergen County, New Jersey",66.4
0500000US34041,"Warren County, New Jersey",66.9
0500000US39003,"Allen County, Ohio",62.4
0500000US39043,"Erie County, Ohio",60.5
0500000US40145,"Wagoner County, Oklahoma",62.1
0500000US41053,"Polk County, Oregon",61.4
0500000US42043,"Dauphin County, Pennsylvania",66.2
0500000US42089,"Monroe County, Pennsylvania",60.2
0500000US44005,"Newport County, Rhode Island",65.1
0500000US44009,"Washington County, Rhode Island",64.7
0500000US45073,"Oconee County, South Carolina",49.2
0500000US48187,"Guadalupe County, Texas",64.0
0500000US48215,"Hidalgo County, Texas",58.7
0500000US48329,"Midland County, Texas",72.5
0500000US53061,"Snohomish County, Washington",67.6
0500000US55079,"Milwaukee County, Wisconsin",64.9
0500000US55101,"Racine County, Wisconsin",63.3
0500000US72113,"Ponce Municipio, Puerto Rico",37.8
0500000US06047,"Merced County, California",61.3
0500000US06081,"San Mateo County, California",69.2
0500000US02170,"Matanuska-Susitna Borough, Alaska",57.3
0500000US04027,"Yuma County, Arizona",52.7
0500000US05119,"Pulaski County, Arkansas",63.9
0500000US13045,"Carroll County, Georgia",59.7
0500000US13067,"Cobb County, Georgia",70.8
0500000US13139,"Hall County, Georgia",63.3
0500000US18085,"Kosciusko County, Indiana",70.0
0500000US18163,"Vanderburgh County, Indiana",63.5
0500000US22033,"East Baton Rouge Parish, Louisiana",65.0
0500000US24013,"Carroll County, Maryland",66.6
0500000US24045,"Wicomico County, Maryland",61.9
0500000US25027,"Worcester County, Massachusetts",66.0
0500000US26065,"Ingham County, Michigan",64.3
0500000US34019,"Hunterdon County, New Jersey",64.6
0500000US36063,"Niagara County, New York",60.6
0500000US36079,"Putnam County, New York",65.3
0500000US37049,"Craven County, North Carolina",55.9
0500000US37151,"Randolph County, North Carolina",63.2
0500000US39141,"Ross County, Ohio",49.8
0500000US40109,"Oklahoma County, Oklahoma",66.6
0500000US48245,"Jefferson County, Texas",54.7
0500000US48303,"Lubbock County, Texas",65.0
0500000US54003,"Berkeley County, West Virginia",64.7
0500000US55073,"Marathon County, Wisconsin",67.1
0500000US02090,"Fairbanks North Star Borough, Alaska",71.5
0500000US05085,"Lonoke County, Arkansas",60.1
0500000US06001,"Alameda County, California",67.7
0500000US06097,"Sonoma County, California",66.0
0500000US06113,"Yolo County, California",58.6
0500000US09015,"Windham County, Connecticut",64.9
0500000US12011,"Broward County, Florida",64.9
0500000US20177,"Shawnee County, Kansas",62.3
0500000US21067,"Fayette County, Kentucky",69.1
0500000US22017,"Caddo Parish, Louisiana",58.4
0500000US22079,"Rapides Parish, Louisiana",57.2
0500000US26147,"St. Clair County, Michigan",61.4
0500000US27171,"Wright County, Minnesota",73.8
0500000US29095,"Jackson County, Missouri",66.5
0500000US36051,"Livingston County, New York",53.8
0500000US36103,"Suffolk County, New York",64.4
0500000US40027,"Cleveland County, Oklahoma",65.7
0500000US40101,"Muskogee County, Oklahoma",55.6
0500000US41035,"Klamath County, Oregon",52.7
0500000US42101,"Philadelphia County, Pennsylvania",61.1
0500000US45019,"Charleston County, South Carolina",65.1
0500000US45047,"Greenwood County, South Carolina",58.8
0500000US47141,"Putnam County, Tennessee",60.4
0500000US48257,"Kaufman County, Texas",68.2
0500000US48381,"Randall County, Texas",70.4
0500000US55071,"Manitowoc County, Wisconsin",61.9
0500000US55139,"Winnebago County, Wisconsin",65.2
0500000US72031,"Carolina Municipio, Puerto Rico",51.9
0500000US01095,"Marshall County, Alabama",56.9
0500000US04017,"Navajo County, Arizona",44.9
0500000US06107,"Tulare County, California",60.0
0500000US08077,"Mesa County, Colorado",60.4
0500000US09001,"Fairfield County, Connecticut",67.5
0500000US12089,"Nassau County, Florida",59.2
0500000US17163,"St. Clair County, Illinois",63.6
0500000US18035,"Delaware County, Indiana",60.1
0500000US18091,"LaPorte County, Indiana",56.8
0500000US18095,"Madison County, Indiana",57.1
0500000US21117,"Kenton County, Kentucky",69.0
0500000US22055,"Lafayette Parish, Louisiana",64.6
0500000US24017,"Charles County, Maryland",67.2
0500000US26077,"Kalamazoo County, Michigan",66.7
0500000US27109,"Olmsted County, Minnesota",70.1
0500000US27141,"Sherburne County, Minnesota",73.8
0500000US34009,"Cape May County, New Jersey",57.6
0500000US35045,"San Juan County, New Mexico",52.7
0500000US36089,"St. Lawrence County, New York",53.8
0500000US37081,"Guilford County, North Carolina",62.9
0500000US39095,"Lucas County, Ohio",61.9
0500000US40143,"Tulsa County, Oklahoma",65.7
0500000US44003,"Kent County, Rhode Island",64.1
0500000US48039,"Brazoria County, Texas",62.4
0500000US48491,"Williamson County, Texas",69.4
0500000US53045,"Mason County, Washington",52.2
0500000US55105,"Rock County, Wisconsin",67.2
0500000US72097,"Mayagüez Municipio, Puerto Rico",34.2
0500000US06057,"Nevada County, California",54.8
0500000US12019,"Clay County, Florida",62.0
0500000US12055,"Highlands County, Florida",43.4
0500000US12131,"Walton County, Florida",N
0500000US15009,"Maui County, Hawaii",66.0
0500000US23005,"Cumberland County, Maine",69.9
0500000US33015,"Rockingham County, New Hampshire",69.5
0500000US35031,"McKinley County, New Mexico",47.9
0500000US36011,"Cayuga County, New York",55.8
0500000US36047,"Kings County, New York",63.5
0500000US37089,"Henderson County, North Carolina",58.4
0500000US39057,"Greene County, Ohio",62.5
0500000US39139,"Richland County, Ohio",54.3
0500000US41033,"Josephine County, Oregon",48.3
0500000US42007,"Beaver County, Pennsylvania",60.6
0500000US42037,"Columbia County, Pennsylvania",59.1
0500000US45031,"Darlington County, South Carolina",49.4
0500000US45079,"Richland County, South Carolina",65.6
0500000US48157,"Fort Bend County, Texas",67.7
0500000US48181,"Grayson County, Texas",60.9
0500000US48451,"Tom Green County, Texas",64.7
0500000US51019,"Bedford County, Virginia",58.8
0500000US53021,"Franklin County, Washington",66.4
0500000US53025,"Grant County, Washington",62.7
0500000US55109,"St. Croix County, Wisconsin",72.5
0500000US05045,"Faulkner County, Arkansas",61.2
0500000US06019,"Fresno County, California",60.9
0500000US08013,"Boulder County, Colorado",68.2
0500000US08041,"El Paso County, Colorado",68.8
0500000US12015,"Charlotte County, Florida",40.2
0500000US12057,"Hillsborough County, Florida",64.6
0500000US18043,"Floyd County, Indiana",66.6
0500000US21093,"Hardin County, Kentucky",61.0
0500000US22071,"Orleans Parish, Louisiana",59.7
0500000US23003,"Aroostook County, Maine",53.7
0500000US24005,"Baltimore County, Maryland",65.9
0500000US24043,"Washington County, Maryland",59.8
0500000US26125,"Oakland County, Michigan",65.8
0500000US34001,"Atlantic County, New Jersey",64.9
0500000US34023,"Middlesex County, New Jersey",65.0
0500000US34037,"Sussex County, New Jersey",69.4
0500000US35005,"Chaves County, New Mexico",55.0
0500000US35013,"Doña Ana County, New Mexico",55.3
0500000US36085,"Richmond County, New York",58.5
0500000US42071,"Lancaster County, Pennsylvania",65.6
0500000US42107,"Schuylkill County, Pennsylvania",56.4
0500000US42129,"Westmoreland County, Pennsylvania",60.6
0500000US45083,"Spartanburg County, South Carolina",61.7
0500000US48339,"Montgomery County, Texas",65.2
0500000US51087,"Henrico County, Virginia",68.8
0500000US51760,"Richmond city, Virginia",64.6
0500000US55035,"Eau Claire County, Wisconsin",66.4
0500000US55063,"La Crosse County, Wisconsin",67.1
0500000US01003,"Baldwin County, Alabama",60.0
0500000US05125,"Saline County, Arkansas",62.6
0500000US12009,"Brevard County, Florida",54.2
0500000US17091,"Kankakee County, Illinois",59.9
0500000US18005,"Bartholomew County, Indiana",62.9
0500000US18057,"Hamilton County, Indiana",72.1
0500000US19153,"Polk County, Iowa",71.8
0500000US20209,"Wyandotte County, Kansas",65.7
0500000US22045,"Iberia Parish, Louisiana",60.9
0500000US22103,"St. Tammany Parish, Louisiana",61.8
0500000US24001,"Allegany County, Maryland",53.9
0500000US25005,"Bristol County, Massachusetts",64.9
0500000US26021,"Berrien County, Michigan",63.1
0500000US26093,"Livingston County, Michigan",66.1
0500000US26103,"Marquette County, Michigan",59.1
0500000US29019,"Boone County, Missouri",67.4
0500000US34031,"Passaic County, New Jersey",65.0
0500000US35043,"Sandoval County, New Mexico",58.4
0500000US36093,"Schenectady County, New York",63.3
0500000US37031,"Carteret County, North Carolina",54.5
0500000US37155,"Robeson County, North Carolina",50.2
0500000US39133,"Portage County, Ohio",68.8
0500000US41047,"Marion County, Oregon",61.7
0500000US42027,"Centre County, Pennsylvania",56.8
0500000US42125,"Washington County, Pennsylvania",63.0
0500000US45059,"Laurens County, South Carolina",55.3
0500000US47001,"Anderson County, Tennessee",55.7
0500000US51085,"Hanover County, Virginia",66.0
0500000US53035,"Kitsap County, Washington",63.7
0500000US55055,"Jefferson County, Wisconsin",70.3
0500000US55087,"Outagamie County, Wisconsin",69.0
0500000US01049,"DeKalb County, Alabama",53.5
0500000US06007,"Butte County, California",57.4
0500000US06017,"El Dorado County, California",59.4
0500000US06025,"Imperial County, California",52.2
0500000US06029,"Kern County, California",57.8
0500000US06041,"Marin County, California",64.5
