id,Geographic Area Name,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over
0500000US48085,"Collin County, Texas",150912,47274,260477,82326,418097,774988,744669,708842,159747,140281,110445,40334
0500000US49045,"Tooele County, Utah",13354,3994,22890,6427,30354,49860,47017,44149,10681,8491,6359,2525
0500000US53041,"Lewis County, Washington",9299,2796,16999,5816,27459,64562,62605,60116,23303,20546,16580,6688
0500000US53053,"Pierce County, Washington",117481,32467,209271,79197,369894,704400,682028,650636,176887,155612,123257,47640
0500000US54061,"Monongalia County, West Virginia",10053,2558,17697,22489,55941,90787,88723,78583,19179,16592,13176,5283
0500000US55009,"Brown County, Wisconsin",35595,10274,62704,24701,102005,207973,200674,188843,55808,48570,39372,16334
0500000US06115,"Yuba County, California",11754,3587,21261,7192,32530,59048,56780,54188,14990,12898,9383,3587
0500000US13051,"Chatham County, Georgia",33605,9748,61165,32134,124249,234490,228030,214308,60778,52986,44131,17720
0500000US13063,"Clayton County, Georgia",46024,12665,80557,29840,125223,218829,209058,197219,41115,34816,26880,8760
0500000US13113,"Fayette County, Georgia",15831,5481,26094,10450,38319,90842,87365,82345,27937,24874,20284,7599
0500000US13223,"Paulding County, Georgia",24314,8244,43620,14064,68394,127381,120424,114423,24743,20770,16871,6369
0500000US17043,"DuPage County, Illinois",117788,37642,210579,80095,355916,743427,718010,684012,207758,180086,143761,58532
0500000US17089,"Kane County, Illinois",76902,25262,135996,48260,209315,416589,398220,377055,102960,89754,73081,28471
0500000US18089,"Lake County, Indiana",63718,20382,113030,42336,182908,385577,371381,353226,113549,100700,79924,33817
0500000US21059,"Daviess County, Kentucky",14108,4031,24701,8319,37813,78526,76403,72777,23802,20692,17052,7251
0500000US21185,"Oldham County, Kentucky",10822,3144,17124,5347,25277,51121,49346,46711,12881,10814,8651,3201
0500000US25009,"Essex County, Massachusetts",93640,30184,168346,73233,295837,642420,622292,589250,186975,166222,134878,57276
0500000US26163,"Wayne County, Michigan",227982,71498,414230,151939,678386,1386184,1339663,1276405,386924,338541,270261,112066
0500000US29165,"Platte County, Missouri",14520,4132,24332,7890,40745,81079,78653,75965,21196,18447,15028,5719
0500000US36053,"Madison County, New York",7667,2718,13477,9613,26591,59098,57318,51297,18851,16439,13087,5363
0500000US37159,"Rowan County, North Carolina",18782,6091,31435,12261,53408,113492,109827,103476,32944,30220,24596,10170
0500000US39029,"Columbiana County, Ohio",11696,3650,20872,7846,34557,84414,81793,78258,29161,25566,21175,8795
