id,Geographic Area Name,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over
0500000US47147,"Robertson County, Tennessee",4787,1507,8471,2627,13161,28694,27583,26256,7976,6957,5429,2169
0500000US48085,"Collin County, Texas",74184,22986,127673,40152,211277,397982,382764,366666,87540,79268,62061,23415
0500000US49045,"Tooele County, Utah",6490,1803,10940,3139,14793,N,23251,21901,5527,4222,3196,1166
0500000US53041,"Lewis County, Washington",4636,1286,8039,2698,13356,32670,31596,30580,12418,10597,8598,3666
0500000US53053,"Pierce County, Washington",57213,15918,101851,37199,180311,357423,345670,330748,94615,84546,67944,28071
0500000US54061,"Monongalia County, West Virginia",4716,1174,8239,10505,25984,44094,43058,38089,10010,8580,7030,2967
0500000US55009,"Brown County, Wisconsin",17667,5015,30661,12441,49812,104957,101715,96251,29400,25957,21645,9449
0500000US06115,"Yuba County, California",5550,1686,9905,3265,15619,29329,28317,26818,8078,7057,5161,2128
0500000US13051,"Chatham County, Georgia",16221,4978,29917,16470,63362,123885,120278,112465,34932,29811,25323,10703
0500000US13063,"Clayton County, Georgia",22571,6483,40191,15100,67018,119122,114307,108651,23547,19894,15616,5606
0500000US13113,"Fayette County, Georgia",7721,2300,12261,5315,19302,47189,45818,43921,15258,13610,11239,4365
0500000US13223,"Paulding County, Georgia",11823,4489,21723,7416,35532,66230,62328,60012,13973,11292,9224,3338
0500000US17043,"DuPage County, Illinois",57469,17866,102198,39321,175257,381737,369675,353082,112840,98878,80119,35607
0500000US17089,"Kane County, Illinois",37639,12185,66136,23252,102480,210569,201756,192318,55189,49262,40093,16518
0500000US18089,"Lake County, Indiana",31161,10081,55146,20633,92209,201816,194581,185308,63165,56395,45489,20610
0500000US21059,"Daviess County, Kentucky",6960,1889,11898,4041,18883,40697,39731,38147,13201,11610,9723,4448
0500000US21185,"Oldham County, Kentucky",5739,1540,8882,2266,10978,23587,22839,21794,6784,5920,4575,1853
0500000US25009,"Essex County, Massachusetts",45928,14423,82254,35920,148381,336078,326515,310407,104262,93278,76836,35374
0500000US26163,"Wayne County, Michigan",111721,34797,202586,75830,345465,729453,706366,676300,216789,191918,155928,68765
0500000US29165,"Platte County, Missouri",6835,1925,11474,3811,20580,41759,40734,39583,10934,9770,8180,3383
0500000US36053,"Madison County, New York",3802,1499,6797,4817,13379,30329,29179,26439,9684,8576,7059,3124
0500000US37159,"Rowan County, North Carolina",7798,2485,13180,6548,26853,58307,56785,53208,18324,16843,13528,6056
0500000US39029,"Columbiana County, Ohio",5915,1750,10650,3393,16031,41505,40426,38606,15758,13910,11454,5293
0500000US41059,"Umatilla County, Oregon",5822,1524,10442,2950,13861,28424,27286,25425,8627,7196,6290,2817
0500000US42045,"Delaware County, Pennsylvania",33782,10466,60203,27728,111012,239134,232461,219898,72045,64357,53249,25318
0500000US42073,"Lawrence County, Pennsylvania",4597,1349,8241,3469,14097,37063,36024,33955,14549,12782,10751,5126
0500000US47157,"Shelby County, Tennessee",63990,18739,114854,43373,195330,389953,375632,359084,108592,94628,74061,30381
0500000US04003,"Cochise County, Arizona",7899,2453,13232,4756,20555,50427,48543,45884,19878,17737,14774,6645
0500000US04005,"Coconino County, Arizona",8505,2214,14317,15762,34949,59446,58016,48055,13204,12017,9224,3707
0500000US06023,"Humboldt County, California",7057,1720,12079,9223,28015,56433,55572,51124,18566,16277,13143,5254
0500000US06039,"Madera County, California",12398,3322,21669,7841,32943,61910,59430,55750,15773,14452,11193,4482
