id,Geographic Area Name,Total,Below poverty level,Percent below poverty level
0500000US18105,"Monroe County, Indiana",131510,28845,21.9
0500000US19169,"Story County, Iowa",86645,17924,20.7
0500000US34027,"Morris County, New Jersey",485909,21856,4.5
0500000US36065,"Oneida County, New York",217729,31565,14.5
0500000US36075,"Oswego County, New York",112985,18720,16.6
0500000US37147,"Pitt County, North Carolina",172388,42556,24.7
0500000US39101,"Marion County, Ohio",59723,10424,17.5
0500000US39173,"Wood County, Ohio",124371,15912,12.8
0500000US41071,"Yamhill County, Oregon",102078,14204,13.9
0500000US42011,"Berks County, Pennsylvania",406927,47057,11.6
0500000US47155,"Sevier County, Tennessee",95582,14003,14.7
0500000US48099,"Coryell County, Texas",59427,9343,15.7
0500000US48367,"Parker County, Texas",136635,10487,7.7
0500000US51121,"Montgomery County, Virginia",89387,25482,28.5
0500000US53029,"Island County, Washington",82552,5645,6.8
0500000US55027,"Dodge County, Wisconsin",83746,7462,8.9
0500000US55039,"Fond du Lac County, Wisconsin",99714,10908,10.9
0500000US12071,"Lee County, Florida",745525,91219,12.2
0500000US12105,"Polk County, Florida",694899,109468,15.8
0500000US17019,"Champaign County, Illinois",194474,38811,20.0
0500000US21029,"Bullitt County, Kentucky",79894,8401,10.5
0500000US26073,"Isabella County, Michigan",64251,15805,24.6
0500000US28035,"Forrest County, Mississippi",71314,18496,25.9
0500000US34003,"Bergen County, New Jersey",927422,64303,6.9
0500000US34041,"Warren County, New Jersey",104295,6310,6.1
0500000US39003,"Allen County, Ohio",98896,13745,13.9
0500000US39043,"Erie County, Ohio",73515,6637,9.0
0500000US40145,"Wagoner County, Oklahoma",79495,7907,9.9
0500000US41053,"Polk County, Oregon",83296,11754,14.1
0500000US42043,"Dauphin County, Pennsylvania",271543,37075,13.7
0500000US42089,"Monroe County, Pennsylvania",167049,20597,12.3
0500000US44005,"Newport County, Rhode Island",78732,5487,7.0
0500000US44009,"Washington County, Rhode Island",119796,8785,7.3
0500000US45073,"Oconee County, South Carolina",77627,11907,15.3
0500000US48187,"Guadalupe County, Texas",162000,12858,7.9
0500000US48215,"Hidalgo County, Texas",855885,260759,30.5
0500000US48329,"Midland County, Texas",171088,17138,10.0
0500000US53061,"Snohomish County, Washington",802700,60142,7.5
0500000US55079,"Milwaukee County, Wisconsin",926620,175379,18.9
0500000US55101,"Racine County, Wisconsin",190105,24719,13.0
0500000US72113,"Ponce Municipio, Puerto Rico",130211,64952,49.9
0500000US06047,"Merced County, California",268968,59283,22.0
0500000US06081,"San Mateo County, California",764657,51863,6.8
0500000US02170,"Matanuska-Susitna Borough, Alaska",105239,11011,10.5
0500000US04027,"Yuma County, Arizona",205802,40295,19.6
0500000US05119,"Pulaski County, Arkansas",386172,65513,17.0
0500000US13045,"Carroll County, Georgia",113659,20027,17.6
0500000US13067,"Cobb County, Georgia",743993,64966,8.7
0500000US13139,"Hall County, Georgia",200254,27106,13.5
0500000US18085,"Kosciusko County, Indiana",77435,6583,8.5
0500000US18163,"Vanderburgh County, Indiana",174506,26294,15.1
0500000US22033,"East Baton Rouge Parish, Louisiana",431849,69618,16.1
0500000US24013,"Carroll County, Maryland",165024,10609,6.4
0500000US24045,"Wicomico County, Maryland",99407,14227,14.3
0500000US25027,"Worcester County, Massachusetts",803261,71000,8.8
0500000US26065,"Ingham County, Michigan",273994,50107,18.3
0500000US34019,"Hunterdon County, New Jersey",120990,5826,4.8
0500000US36063,"Niagara County, New York",207113,27143,13.1
0500000US36079,"Putnam County, New York",97616,6208,6.4
0500000US37049,"Craven County, North Carolina",97743,15006,15.4
0500000US37151,"Randolph County, North Carolina",141597,19883,14.0
0500000US39141,"Ross County, Ohio",71409,14675,20.6
0500000US40109,"Oklahoma County, Oklahoma",776306,133723,17.2
0500000US48245,"Jefferson County, Texas",238819,44133,18.5
0500000US48303,"Lubbock County, Texas",294817,52764,17.9
0500000US54003,"Berkeley County, West Virginia",116337,14176,12.2
0500000US55073,"Marathon County, Wisconsin",133011,9252,7.0
0500000US02090,"Fairbanks North Star Borough, Alaska",94455,7651,8.1
0500000US05085,"Lonoke County, Arkansas",72534,10059,13.9
0500000US06001,"Alameda County, California",1642667,146199,8.9
0500000US06097,"Sonoma County, California",493293,49845,10.1
0500000US06113,"Yolo County, California",212296,45864,21.6
0500000US09015,"Windham County, Connecticut",111707,14112,12.6
0500000US12011,"Broward County, Florida",1935744,240832,12.4
0500000US20177,"Shawnee County, Kansas",172811,24839,14.4
0500000US21067,"Fayette County, Kentucky",310981,45230,14.5
0500000US22017,"Caddo Parish, Louisiana",237840,52842,22.2
0500000US22079,"Rapides Parish, Louisiana",126219,24399,19.3
0500000US26147,"St. Clair County, Michigan",156928,22946,14.6
0500000US27171,"Wright County, Minnesota",134110,5950,4.4
0500000US29095,"Jackson County, Missouri",687991,88942,12.9
0500000US36051,"Livingston County, New York",56798,7368,13.0
0500000US36103,"Suffolk County, New York",1457692,104264,7.2
0500000US40027,"Cleveland County, Oklahoma",270259,33005,12.2
0500000US40101,"Muskogee County, Oklahoma",63775,8762,13.7
0500000US41035,"Klamath County, Oregon",66546,12435,18.7
0500000US42101,"Philadelphia County, Pennsylvania",1538479,377116,24.5
0500000US45019,"Charleston County, South Carolina",394291,55588,14.1
0500000US45047,"Greenwood County, South Carolina",68409,12702,18.6
0500000US47141,"Putnam County, Tennessee",75727,9864,13.0
0500000US48257,"Kaufman County, Texas",127283,17026,13.4
0500000US48381,"Randall County, Texas",133515,10165,7.6
0500000US55071,"Manitowoc County, Wisconsin",77855,8896,11.4
0500000US55139,"Winnebago County, Wisconsin",162762,17567,10.8
0500000US72031,"Carolina Municipio, Puerto Rico",146998,49298,33.5
0500000US01095,"Marshall County, Alabama",94435,18550,19.6
0500000US04017,"Navajo County, Arizona",107624,31654,29.4
0500000US06107,"Tulare County, California",460709,103711,22.5
0500000US08077,"Mesa County, Colorado",150185,24869,16.6
0500000US09001,"Fairfield County, Connecticut",926707,94304,10.2
0500000US12089,"Nassau County, Florida",85278,10602,12.4
0500000US17163,"St. Clair County, Illinois",256652,37241,14.5
0500000US18035,"Delaware County, Indiana",107717,24394,22.6
0500000US18091,"LaPorte County, Indiana",102117,16770,16.4
0500000US18095,"Madison County, Indiana",123260,21802,17.7
0500000US21117,"Kenton County, Kentucky",163327,15899,9.7
0500000US22055,"Lafayette Parish, Louisiana",237706,36016,15.2
0500000US24017,"Charles County, Maryland",159465,9063,5.7
0500000US26077,"Kalamazoo County, Michigan",256825,37449,14.6
0500000US27109,"Olmsted County, Minnesota",154128,10062,6.5
