id,Geographic Area Name,total_households,smartphone_households,smartphone_ownership
0500000US47157,"Shelby County, Tennessee",352648,279934,0.7938057212858147
0500000US04003,"Cochise County, Arizona",49751,39741,0.7987980141102692
0500000US04005,"Coconino County, Arizona",47275,41047,0.8682601797990481
0500000US06023,"Humboldt County, California",55773,45913,0.8232119484338299
0500000US06039,"Madera County, California",44484,37465,0.8422129304918622
0500000US12097,"Osceola County, Florida",102705,91843,0.8942407867192445
0500000US13059,"Clarke County, Georgia",49698,43583,0.8769568191878949
0500000US13313,"Whitfield County, Georgia",36658,29084,0.7933875279611544
0500000US16019,"Bonneville County, Idaho",40224,35809,0.8902396579156723
0500000US22109,"Terrebonne Parish, Louisiana",37911,30165,0.7956793542771228
0500000US24015,"Cecil County, Maryland",36620,29273,0.7993719279082468
0500000US24037,"St. Mary's County, Maryland",41239,33653,0.8160479158078517
0500000US25001,"Barnstable County, Massachusetts",86671,71349,0.8232165314811183
0500000US25021,"Norfolk County, Massachusetts",267880,231780,0.8652381663431388
0500000US27163,"Washington County, Minnesota",96387,85454,0.8865718406009109
0500000US34033,"Salem County, New Jersey",23952,20334,0.8489478957915831
0500000US34035,"Somerset County, New Jersey",118729,107237,0.9032081462827111
0500000US36081,"Queens County, New York",788110,678737,0.861221149331946
0500000US36119,"Westchester County, New York",352498,302484,0.8581155070383378
0500000US37109,"Lincoln County, North Carolina",34233,29946,0.874769958811673
0500000US42003,"Allegheny County, Pennsylvania",543369,442876,0.8150556987976862
0500000US45035,"Dorchester County, South Carolina",55799,49684,0.8904102224054194
0500000US48231,"Hunt County, Texas",34132,29512,0.8646431501230517
0500000US51650,"Hampton city, Virginia",54800,45295,0.8265510948905109
0500000US01077,"Lauderdale County, Alabama",38670,29423,0.760874062580812
0500000US09011,"New London County, Connecticut",108098,88821,0.821671076245629
0500000US17167,"Sangamon County, Illinois",83006,70180,0.8454810495626822
0500000US21111,"Jefferson County, Kentucky",311263,259965,0.8351940320564925
0500000US21151,"Madison County, Kentucky",33396,27529,0.8243202778775901
