id,Geographic Area Name,Population 16 years and over,16 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 years and over,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino origin (of any race),"White alone, not Hispanic or Latino",Population 20 to 64 years,Male,Female,With own children under 18 years,With own children under 6 years only,With own children under 6 years and 6 to 17 years,With own children 6 to 17 years only,Below poverty level,At or above the poverty level,With any disability,Population 25 to 64 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher
0500000US42071,"Lancaster County, Pennsylvania",430023,29867,33386,36272,34429,61646,65562,35817,34293,53268,45483,380522,17861,N,N,N,N,N,40749,358498,301405,149187,152218,53401,14547,9502,29352,21664,276069,29463,268019,37093,87001,63626,80299
0500000US42107,"Schuylkill County, Pennsylvania",117900,6480,6977,10381,7936,15892,20461,10559,10335,16243,12636,110616,N,N,N,N,N,N,N,107958,82541,44479,38062,11363,2500,2185,6678,9732,67182,10206,75564,7080,31625,23351,13508
0500000US42129,"Westmoreland County, Pennsylvania",294601,15405,18095,19161,18162,37976,48736,28171,29459,44074,35362,281300,N,N,N,N,N,N,N,278828,199760,100395,99365,30449,6233,5370,18846,17506,179747,25681,181665,7669,60287,53582,60127
0500000US45083,"Spartanburg County, South Carolina",248960,16140,20858,22322,20268,36913,41762,20532,19987,29925,20253,185668,49543,N,5566,N,N,N,N,174881,182642,88847,93795,35454,8011,5449,21994,20831,157379,22484,161784,18236,49934,53657,39957
0500000US48339,"Montgomery County, Texas",452956,32085,34082,37997,37169,81263,79999,40934,31013,49292,29122,394463,21827,N,N,N,N,N,99385,309167,342457,171094,171363,71040,17486,13223,40331,26686,314723,25390,308375,39779,63237,89591,115768
0500000US51087,"Henrico County, Virginia",262611,14937,19268,22853,23410,44029,44292,21511,20748,30230,21333,150882,77039,N,22530,N,N,N,N,142745,196111,92792,103319,35352,8175,7140,20037,14135,180983,18295,176843,12674,36808,45053,82308
0500000US51760,"Richmond city, Virginia",193398,12736,19536,27701,22746,27896,24378,14917,13275,18282,11931,95439,85852,N,N,N,N,N,N,86166,150449,72164,78285,17250,4557,4121,8572,27395,119747,18933,130913,17336,26617,29419,57541
0500000US55035,"Eau Claire County, Wisconsin",86017,6928,13957,6790,6689,11497,11080,6644,5743,9766,6923,79483,N,N,N,N,N,N,N,77944,62400,31738,30662,9603,1775,1997,5831,9389,52327,6034,48443,1979,11077,18714,16673
0500000US55063,"La Crosse County, Wisconsin",97241,7549,13705,8060,7136,12803,13943,7154,7769,10745,8377,89729,N,N,N,N,N,N,N,88734,70570,34803,35767,10528,3166,2171,5191,9341,59787,5697,56865,1796,12311,19860,22898
0500000US01003,"Baldwin County, Alabama",176222,10105,10426,11901,11597,25990,30117,16569,15074,27152,17291,153963,N,N,N,N,N,N,N,149271,121674,58650,63024,24035,5301,3511,15223,10554,109462,14382,111248,10990,31829,33373,35056
