Total Population,id,Geographic Area Name,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over,Male - 5 to 14 years,Male - 15 to 17 years,Male - Under 18 years,Male - 18 to 24 years,Male - 15 to 44 years,Male - 16 years and over,Male - 18 years and over,Male - 21 years and over,Male - 60 years and over,Male - 62 years and over,Male - 65 years and over,Male - 75 years and over,Female - Male - 5 to 14 years,Female - Male - 15 to 17 years,Female - Male - Under 18 years,Female - Male - 18 to 24 years,Female - Male - 15 to 44 years,Female - Male - 16 years and over,Female - Male - 18 years and over,Female - Male - 21 years and over,Female - Male - 60 years and over,Female - Male - 62 years and over,Female - Male - 65 years and over,Female - Male - 75 years and over
120422,0500000US40031,"Comanche County, Oklahoma",15768,4397,28335,14950,53404,94540,92087,85065,22390,18690,15223,6281,8080,2111,14241,9329,29461,49620,48317,43236,9890,8301,6863,2635,7688,2286,14094,5621,23943,44920,43770,41829,12500,10389,8360,3646
122492,0500000US42013,"Blair County, Pennsylvania",13765,4391,24260,9859,42812,101683,98232,93876,33697,29958,25493,11333,7005,2198,12349,5126,21765,48628,46879,44553,14922,13236,11026,4343,6760,2193,11911,4733,21047,53055,51353,49323,18775,16722,14467,6990
85063,0500000US42039,"Crawford County, Pennsylvania",9554,3362,17737,7858,29466,69543,67326,63474,24165,21576,17556,7168,4947,1739,9009,3961,14687,33640,32594,31013,11317,9842,8177,3237,4607,1623,8728,3897,14779,35903,34732,32461,12848,11734,9379,3931
130441,0500000US42051,"Fayette County, Pennsylvania",13853,4207,24914,8910,44426,108658,105527,102336,38235,34122,27692,12074,7027,2128,12468,4706,23276,53503,51904,50132,17404,15566,12080,4708,6826,2079,12446,4204,21150,55155,53623,52204,20831,18556,15612,7366
97605,0500000US47113,"Madison County, Tennessee",12051,3554,21894,10041,37212,78437,75711,71664,23882,20749,16581,6717,6357,2182,11490,4560,18181,36591,35019,32716,10574,9219,7249,2602,5694,1372,10404,5481,19031,41846,40692,38948,13308,11530,9332,4115
355642,0500000US48027,"Bell County, Texas",54225,14717,98693,40260,159402,267437,256949,239762,54161,47833,38659,15482,27698,7606,50653,22009,81817,131852,126428,117915,24038,21145,16958,6601,26527,7111,48040,18251,77585,135585,130521,121847,30123,26688,21701,8881
423908,0500000US48061,"Cameron County, Texas",71707,22680,128762,44442,171460,310656,295146,273415,75340,68090,58006,25645,36865,11345,65717,23240,85633,148454,140336,128637,32776,29966,25318,10533,34842,11335,63045,21202,85827,162202,154810,144778,42564,38124,32688,15112
256359,0500000US49057,"Weber County, Utah",41380,12053,72520,24609,110908,191379,183839,173705,42591,37157,29562,11336,20774,6123,36502,12509,56973,95536,91796,86428,19111,16631,13725,5010,20606,5930,36018,12100,53935,95843,92043,87277,23480,20526,15837,6326
81244,0500000US51165,"Rockingham County, Virginia",10267,3132,17790,7611,29314,65809,63454,59921,21600,18832,15209,6846,5354,1410,8959,3458,14010,31701,30613,29099,9774,8359,6952,2859,4913,1722,8831,4153,15304,34108,32841,30822,11826,10473,8257,3987
178626,0500000US51700,"Newport News city, Virginia",22123,6439,41278,21654,78749,140997,137348,125941,34393,29109,23417,9699,11520,3873,21898,11435,39857,67866,65243,59047,15972,12814,9855,3571,10603,2566,19380,10219,38892,73131,72105,66894,18421,16295,13562,6128
244076,0500000US51710,"Norfolk city, Virginia",25391,6487,47774,43256,124814,200900,196302,178737,40557,35063,27271,10700,12899,3139,24163,26856,70483,105145,102935,93361,17829,14985,11486,4129,12492,3348,23611,16400,54331,95755,93367,85376,22728,20078,15785,6571
450189,0500000US51810,"Virginia Beach city, Virginia",55150,16201,99439,41697,191922,362105,350750,334987,90171,79425,63851,26408,28268,8344,50955,22574,98701,176167,170322,162303,39206,34624,27362,10730,26882,7857,48484,19123,93221,185938,180428,172684,50965,44801,36489,15678
77036,0500000US53007,"Chelan County, Washington",10535,2779,18053,5692,28251,60734,58983,56543,19243,17156,14418,6103,5511,1105,9050,3369,13858,N,29536,28141,9282,8366,6817,2753,5024,1674,9003,2323,14393,N,29447,28402,9961,8790,7601,3350
114277,0500000US01015,"Calhoun County, Alabama",13126,4216,24484,10621,43718,93284,89793,84973,28370,24963,20515,8275,6669,1935,12399,5613,21660,44256,42655,39902,12107,10741,8619,3101,6457,2281,12085,5008,22058,49028,47138,45071,16263,14222,11896,5174
651215,0500000US08005,"Arapahoe County, Colorado",86298,26361,152661,53641,275272,516120,498554,477945,123453,107357,85009,31162,44591,13219,78200,28037,140449,254268,244968,232821,56197,48423,37539,12552,41707,13142,74461,25604,134823,261852,253586,245124,67256,58934,47470,18610
80809,0500000US13013,"Barrow County, Georgia",12066,3718,20961,6855,32632,62605,59848,57316,14226,12601,10243,3586,6534,2093,11313,3440,16329,30141,28604,27215,6251,5527,4294,1431,5532,1625,9648,3415,16303,32464,31244,30101,7975,7074,5949,2155
70422,0500000US13157,"Jackson County, Georgia",9611,4017,17896,5234,27532,55402,52526,50339,13979,12499,10244,4265,5183,1705,9132,2483,13261,26773,25630,24376,6708,5798,4782,1847,4428,2312,8764,2751,14271,28629,26896,25963,7271,6701,5462,2418
201554,0500000US13245,"Richmond County, Georgia",25217,7331,45628,23371,87826,160792,155926,146529,42346,37121,28148,10791,13337,3690,21787,12996,44781,77057,74317,69441,17880,15040,11699,4115,11880,3641,23841,10375,43045,83735,81609,77088,24466,22081,16449,6676
70034,0500000US13285,"Troup County, Georgia",9651,3109,17162,8362,28969,54813,52872,49912,14772,13597,10065,4056,4628,1822,8440,4077,14250,N,24522,23339,6154,5581,4105,1397,5023,1287,8722,4285,14719,N,28350,26573,8618,8016,5960,2659
96854,0500000US19061,"Dubuque County, Iowa",10840,3594,21527,9971,36638,77985,75327,70571,23860,21476,17441,7923,5355,1891,10392,5064,19274,38883,37484,35106,10798,9672,7617,3032,5485,1703,11135,4907,17364,39102,37843,35465,13062,11804,9824,4891
131264,0500000US21227,"Warren County, Kentucky",17108,4918,30077,20526,58767,104852,101187,90355,23899,20941,17362,6614,9129,2279,15410,10179,29449,51022,49276,44108,10291,9243,7905,2763,7979,2639,14667,10347,29318,53830,51911,46247,13608,11698,9457,3851
103551,0500000US27019,"Carver County, Minnesota",15911,5640,27756,8218,39941,79260,75795,72364,18200,15832,12680,4975,7817,2888,13837,4261,19661,38618,36799,35140,8199,7030,5591,2108,8094,2752,13919,3957,20280,40642,38996,37224,10001,8802,7089,2867
75317,0500000US28075,"Lauderdale County, Mississippi",11183,1932,17728,6364,27433,58613,57589,54484,17239,15125,12938,5612,5283,947,8545,3770,13776,28026,27556,25357,7847,6894,5532,2150,5900,985,9183,2594,13657,30587,30033,29127,9392,8231,7406,3462
85202,0500000US28081,"Lee County, Mississippi",12118,3035,20753,7872,33785,66408,64449,60723,17917,15648,12097,5197,5966,1672,10414,4864,16930,31698,30639,28156,7614,6476,4802,1700,6152,1363,10339,3008,16855,34710,33810,32567,10303,9172,7295,3497
153902,0500000US28121,"Rankin County, Mississippi",20099,6733,35671,12162,63591,123138,118231,113902,32059,28049,23460,8988,10401,3443,18570,6316,30686,58606,56046,53085,13816,12545,10165,3572,9698,3290,17101,5846,32905,64532,62185,60817,18243,15504,13295,5416
178599,0500000US36111,"Ulster County, New York",17973,5738,31311,17131,66477,151260,147288,140153,49420,42153,35125,14719,9371,2657,15602,8705,34365,74374,72940,69701,22680,19132,15852,6184,8602,3081,15709,8426,32112,76886,74348,70452,26740,23021,19273,8535
1092305,0500000US37183,"Wake County, North Carolina",148387,45347,261532,99545,468530,860242,830773,787428,182863,159476,126840,46973,75406,22768,132966,49678,230557,413468,398642,376103,81397,68842,54782,19016,72981,22579,128566,49867,237973,446774,432131,411325,101466,90634,72058,27957
309461,0500000US39093,"Lorain County, Ohio",38231,12323,68263,27801,110908,249678,241198,228190,79585,70893,56905,23659,19624,6465,35350,14315,56798,121629,117187,110395,35411,31271,25013,9758,18607,5858,32913,13486,54110,128049,124011,117795,44174,39622,31892,13901
82040,0500000US40119,"Payne County, Oklahoma",8970,2949,16208,20856,43261,67411,65832,55108,14821,12461,10980,4426,4517,1694,8266,11108,23487,34512,33764,28629,6718,5411,4839,1852,4453,1255,7942,9748,19774,32899,32068,26479,8103,7050,6141,2574
91984,0500000US40131,"Rogers County, Oklahoma",12091,4067,21479,7844,34787,73119,70505,67348,20639,18564,14987,6055,6222,1982,11016,3988,17442,35908,34779,33067,9534,8784,6876,2737,5869,2085,10463,3856,17345,37211,35726,34281,11105,9780,8111,3318
