id,Geographic Area Name,Less than 10 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 44 minutes,45 to 59 minutes,60 or more minutes,Mean travel time to work (minutes)
0500000US53063,"Spokane County, Washington",13.7,14.6,21.2,15.9,9.2,14.0,4.7,3.8,3.0,21.3
0500000US55097,"Portage County, Wisconsin",27.1,21.5,17.2,9.0,4.3,6.2,7.1,4.4,3.3,18.9
0500000US01043,"Cullman County, Alabama",18.0,17.2,14.5,13.4,5.3,8.3,1.6,8.1,13.6,25.4
0500000US06037,"Los Angeles County, California",6.3,9.7,13.1,13.0,5.5,18.4,8.3,10.7,15.1,32.2
0500000US06061,"Placer County, California",11.9,13.4,18.0,11.5,7.2,11.4,8.1,9.8,8.9,27.8
0500000US09013,"Tolland County, Connecticut",12.4,8.7,11.6,13.2,9.1,17.1,10.9,11.6,5.4,27.1
0500000US10005,"Sussex County, Delaware",12.3,11.7,14.7,15.7,8.2,15.7,7.1,6.1,8.5,27.5
0500000US13031,"Bulloch County, Georgia",17.8,22.7,19.9,11.1,4.6,4.6,2.6,8.4,8.2,24.0
0500000US13115,"Floyd County, Georgia",9.4,18.3,19.3,16.6,3.9,16.4,3.3,7.5,5.4,23.8
0500000US13217,"Newton County, Georgia",7.3,10.7,13.6,12.6,6.0,12.4,4.7,10.1,22.6,35.5
0500000US17031,"Cook County, Illinois",6.2,8.3,10.6,11.7,5.9,17.7,10.3,13.9,15.5,33.6
0500000US21047,"Christian County, Kentucky",36.6,15.7,17.6,12.4,4.2,4.7,3.8,1.4,3.5,15.5
0500000US25011,"Franklin County, Massachusetts",19.2,10.9,13.0,10.5,6.9,15.9,9.2,7.5,7.0,25.6
0500000US25013,"Hampden County, Massachusetts",13.4,15.9,19.0,15.3,7.6,13.9,5.7,4.8,4.5,22.3
0500000US26155,"Shiawassee County, Michigan",19.0,11.6,9.2,12.5,5.0,13.7,9.0,10.7,9.4,26.9
0500000US29047,"Clay County, Missouri",10.3,13.4,17.0,18.4,9.0,13.7,8.1,6.7,3.3,23.6
0500000US30063,"Missoula County, Montana",17.8,20.8,26.4,15.8,4.4,7.4,1.8,2.9,2.8,18.2
0500000US30111,"Yellowstone County, Montana",18.4,19.3,21.1,19.6,6.3,7.2,1.9,1.9,4.4,19.7
0500000US36045,"Jefferson County, New York",21.5,16.7,20.3,13.5,7.3,10.3,3.9,3.2,3.4,20.1
0500000US39063,"Hancock County, Ohio",28.7,23.3,20.6,8.8,3.9,5.8,2.6,3.4,2.8,16.5
0500000US39151,"Stark County, Ohio",17.7,16.0,16.6,15.7,7.4,11.7,5.2,4.7,5.0,21.9
0500000US42005,"Armstrong County, Pennsylvania",14.7,13.0,10.7,11.4,7.1,11.4,6.8,11.2,13.6,29.6
0500000US48139,"Ellis County, Texas",12.1,10.8,15.5,9.2,4.3,11.7,8.6,13.0,14.8,30.7
0500000US48201,"Harris County, Texas",7.3,9.7,14.0,14.7,6.5,18.7,8.5,10.7,9.8,29.2
0500000US48291,"Liberty County, Texas",11.3,8.4,9.2,10.2,1.8,12.9,6.4,12.6,27.1,38.3
0500000US48479,"Webb County, Texas",12.2,17.1,23.4,17.1,5.9,14.0,2.0,4.9,3.5,21.2
0500000US51095,"James City County, Virginia",11.0,17.5,17.4,16.3,4.5,10.0,6.2,9.8,7.4,26.2
0500000US51161,"Roanoke County, Virginia",8.6,11.0,23.0,15.3,7.9,23.6,3.2,5.4,2.1,22.9
0500000US55059,"Kenosha County, Wisconsin",14.8,17.0,13.2,11.0,7.4,9.3,6.5,10.5,10.2,26.5
0500000US06033,"Lake County, California",14.0,15.0,13.9,15.9,3.4,5.5,6.8,11.6,13.8,33.9
0500000US06075,"San Francisco County, California",4.1,7.7,10.7,13.5,7.4,20.9,9.8,11.5,14.3,33.0
